day,time,Alog_in0,Alog_in1,Alog_in2,Alog_in3,Alog_in4,Alog_in5,Alog_in6,Alog_in7
2024:12:11,16:9:23,,,,,,,,
2024:12:11,16:9:24,,,,,,,,
2024:12:11,16:9:25,,,,,,,,
2024:12:11,16:9:26,,,,,,,,
2024:12:11,16:9:27,,,,,,,,
2024:12:11,16:9:28,,,,,,,,
2024:12:11,16:9:29,,,,,,,,
2024:12:11,16:9:30,,,,,,,,
2024:12:11,16:9:31,,,,,,,,
2024:12:11,16:9:32,,,,,,,,
2024:12:11,16:9:33,,,,,,,,
2024:12:11,16:9:35,,,,,,,,
2024:12:11,16:9:36,,,,,,,,
2024:12:11,16:9:37,,,,,,,,
2024:12:11,16:9:38,,,,,,,,
2024:12:11,16:9:39,,,,,,,,
2024:12:11,16:9:40,,,,,,,,
2024:12:11,16:9:41,,,,,,,,
2024:12:11,16:9:42,,,,,,,,
2024:12:11,16:9:43,,,,,,,,
2024:12:11,16:9:44,,,,,,,,
2024:12:11,16:9:45,,,,,,,,
2024:12:11,16:9:46,,,,,,,,
2024:12:11,16:9:47,,,,,,,,
2024:12:11,16:9:48,,,,,,,,
2024:12:11,16:9:49,,,,,,,,
2024:12:11,16:9:50,,,,,,,,
2024:12:11,16:9:51,,,,,,,,
2024:12:11,16:9:52,,,,,,,,
2024:12:11,16:9:53,,,,,,,,
2024:12:11,16:9:54,,,,,,,,
2024:12:11,16:9:55,,,,,,,,
2024:12:11,16:9:56,,,,,,,,
2024:12:11,16:9:57,,,,,,,,
2024:12:11,16:9:58,,,,,,,,
2024:12:11,16:9:59,,,,,,,,
2024:12:11,16:10:0,,,,,,,,
2024:12:11,16:10:1,,,,,,,,
2024:12:11,16:10:2,,,,,,,,
2024:12:11,16:10:3,,,,,,,,
2024:12:11,16:10:4,,,,,,,,
2024:12:11,16:10:5,,,,,,,,
2024:12:11,16:10:6,,,,,,,,
2024:12:11,16:10:7,,,,,,,,
2024:12:11,16:10:8,,,,,,,,
2024:12:11,16:10:9,,,,,,,,
2024:12:11,16:10:10,,,,,,,,
2024:12:11,16:10:11,,,,,,,,
2024:12:11,16:10:12,,,,,,,,
2024:12:11,16:10:13,,,,,,,,
2024:12:11,16:10:14,,,,,,,,
2024:12:11,16:10:15,,,,,,,,
2024:12:11,16:10:16,,,,,,,,
2024:12:11,16:10:17,,,,,,,,
2024:12:11,16:10:18,,,,,,,,
2024:12:11,16:10:19,,,,,,,,
2024:12:11,16:10:20,,,,,,,,
2024:12:11,16:10:21,,,,,,,,
2024:12:11,16:10:22,,,,,,,,
2024:12:11,16:10:23,,,,,,,,
2024:12:11,16:10:24,,,,,,,,
2024:12:11,16:10:25,,,,,,,,
2024:12:11,16:10:26,,,,,,,,
2024:12:11,16:10:27,,,,,,,,
2024:12:11,16:10:28,,,,,,,,
2024:12:11,16:10:29,,,,,,,,
2024:12:11,16:10:30,,,,,,,,
2024:12:11,16:10:31,,,,,,,,
2024:12:11,16:10:32,,,,,,,,
2024:12:11,16:10:33,,,,,,,,
2024:12:11,16:10:34,,,,,,,,
2024:12:11,16:10:35,,,,,,,,
2024:12:11,16:10:36,,,,,,,,
2024:12:11,16:10:37,,,,,,,,
2024:12:11,16:10:38,,,,,,,,
2024:12:11,16:10:39,,,,,,,,
2024:12:11,16:10:40,,,,,,,,
2024:12:11,16:10:41,,,,,,,,
2024:12:11,16:10:42,,,,,,,,
2024:12:11,16:10:43,,,,,,,,
2024:12:11,16:10:44,,,,,,,,
2024:12:11,16:10:45,,,,,,,,
2024:12:11,16:10:46,,,,,,,,
2024:12:11,16:10:47,,,,,,,,
2024:12:11,16:10:48,,,,,,,,
2024:12:11,16:10:49,,,,,,,,
2024:12:11,16:10:50,,,,,,,,
2024:12:11,16:10:51,,,,,,,,
2024:12:11,16:10:52,,,,,,,,
2024:12:11,16:10:53,,,,,,,,
2024:12:11,16:10:54,,,,,,,,
2024:12:11,16:10:55,,,,,,,,
2024:12:11,16:10:56,,,,,,,,
2024:12:11,16:10:57,,,,,,,,
2024:12:11,16:10:58,,,,,,,,
2024:12:11,16:10:59,,,,,,,,
2024:12:11,16:11:0,,,,,,,,
2024:12:11,16:11:1,,,,,,,,
2024:12:11,16:11:2,,,,,,,,
2024:12:11,16:11:3,,,,,,,,
2024:12:11,16:11:4,,,,,,,,
2024:12:11,16:11:5,,,,,,,,
2024:12:11,16:11:6,,,,,,,,
2024:12:11,16:11:7,,,,,,,,
2024:12:11,16:11:8,,,,,,,,
2024:12:11,16:11:9,,,,,,,,
2024:12:11,16:11:10,,,,,,,,
2024:12:11,16:11:11,,,,,,,,
2024:12:11,16:11:12,,,,,,,,
2024:12:11,16:11:13,,,,,,,,
2024:12:11,16:11:14,,,,,,,,
